,average_valence_number,average_electronegativity,average_atomic_number,mean wt CN_1,std_dev L-shaped CN_2,HF,std_dev wt CN_1,Barrier_energy
342,12.666666666666666,2.316666666666667,42.66666666666666,0.0,0.0,-1.086,0.0,0.6699999999998454
347,7.5,2.4675,27.83333333333333,0.0122630361979538,1.3504073513380354e-09,-1.761,0.0274209825491654,0.4766666666670668
348,12.666666666666666,2.53,34.0,0.0,0.0,-0.415,0.0,0.599999999999909
349,12.666666666666666,2.53,34.0,0.0,0.0,-0.287,0.0,0.5799999999999272
350,7.5,2.4825,23.33333333333333,0.0059554994574839,1.0927692603953627e-09,-1.828,0.0133169016268971,0.2900000000002667
352,16.0,2.52,40.0,0.0,0.0,-0.32,0.0,0.9800000000000182
361,5.833333333333333,2.500833333333333,24.83333333333333,0.010041549166865,1.7216532723372462e-09,-1.85,0.0224535865365166,0.8466666666660482
362,5.833333333333333,2.515833333333333,20.33333333333333,0.0039824458699922,1.672710519629811e-09,-1.916,0.008905019682016,0.8699999999998909
365,7.166666666666667,2.419166666666667,26.0,0.0075678157543383,3.3876144647006627e-11,-1.944,0.0169221504678944,0.7333333333329696
367,9.333333333333334,2.4533333333333336,30.666666666666668,0.0,0.0,-1.015,0.0,0.6600000000000819
376,4.444444444444445,2.082222222222222,14.444444444444445,0.0251047199210775,0.0,-1.243,0.0299612822444662,0.819999999999709
377,10.0,2.065555555555556,24.444444444444443,0.0210927614444437,0.0,-1.026,0.0243267523537344,0.6766666666668849
381,5.555555555555555,2.1355555555555554,17.333333333333332,0.0276468368658735,0.0,-0.793,0.0378778555385966,0.6900000000000546
382,5.555555555555555,2.1355555555555554,17.333333333333332,0.0319291578475131,9.068557040040586e-06,-0.751,0.0362824081021272,0.6599999999998545
383,13.0,2.29,37.0,0.0,9.447689656488486e-07,-0.474,0.0,0.9900000000000092
386,9.333333333333334,2.263333333333333,24.666666666666668,0.0,0.0,-0.569,0.0,0.099999999999909
388,9.333333333333334,2.1133333333333333,30.666666666666668,0.0,0.0,-0.318,0.0,0.1299999999998817
389,12.666666666666666,2.103333333333333,36.66666666666666,0.0,0.0,-0.27,0.0,0.7100000000000364
390,6.222222222222222,2.2155555555555555,18.0,0.0240690713965341,1.2663552366864102e-06,-0.67,0.0349906474095949,0.6199999999998909
391,6.222222222222222,2.2155555555555555,18.0,0.0156703356386762,1.1994911576872776e-05,-0.669,0.0241770132978669,0.7199999999997999
394,11.77777777777778,2.198888888888889,28.0,0.0222219838154814,1.3006136294228454e-05,-0.513,0.0350754350486262,0.973333333333206
396,8.222222222222221,2.2533333333333334,21.77777777777778,0.0034139617477436,0.0,-0.497,0.0038944689770045,0.6100000000001273
398,13.77777777777778,2.2366666666666664,31.77777777777778,0.0116040723199435,1.255245746811432e-05,-0.37,0.0276774611683012,1.0
408,12.666666666666666,2.43,40.0,0.0,0.0,-0.278,0.0,0.6199999999998909
409,8.666666666666666,2.1533333333333333,36.0,0.0,3.06694373879917e-05,-1.797,0.0,0.1663333333333033
410,4.888888888888889,2.768888888888889,10.0,0.244241646988866,0.0029884815693373,-1.526,0.3976657434594426,0.0033333333332545
415,6.0,2.7266666666666666,22.0,1.265165812443942e-05,0.0,-1.361,1.7892146506089982e-05,0.0799999999999272
416,9.333333333333334,2.716666666666667,28.0,1.265165812443942e-05,1.668825895569413e-05,-1.174,1.7892146506089982e-05,0.1200000000001182
418,9.333333333333334,2.43,30.666666666666668,0.0,0.0,-0.805,0.0,0.3600000000001273
419,6.666666666666667,2.126666666666667,18.444444444444443,0.0107793957025464,0.0,-1.034,0.0135569199183779,0.75
420,12.22222222222222,2.1100000000000003,28.444444444444443,0.0089315799863684,0.0,-0.89,0.0131941152108016,0.6699999999999212
422,9.333333333333334,2.28,36.66666666666666,0.0,0.0,-0.546,0.0,0.3199999999999363
423,12.666666666666666,2.27,42.66666666666666,0.0,0.0,-0.479,0.0,0.8099999999999454
424,7.777777777777778,2.18,21.33333333333333,0.0099208531770516,0.0,-0.592,0.0113374001204925,0.6200000000003456
425,7.777777777777778,2.18,21.33333333333333,0.0176700608078267,0.0,-0.561,0.0221640032101781,0.6100000000001273
429,9.0,2.2433333333333336,30.33333333333333,0.0,0.0,-0.947,0.0,0.0933333333332484
433,8.444444444444445,2.7377777777777776,17.555555555555557,0.0227378029421457,9.650935875036428e-05,-1.201,0.0323840427137393,0.7999999999995756
434,8.444444444444445,2.26,22.0,0.0165695831457743,1.1585291981096878e-05,-0.486,0.0311272759769644,0.5933333333334
435,8.444444444444445,2.26,22.0,0.007606219639406,1.264360540269959e-06,-0.478,0.0092224018223698,0.6300000000001091
436,9.0,2.0933333333333333,36.333333333333336,0.0,0.0,-0.76,0.0,0.0699999999999363
438,14.0,2.243333333333333,32.0,0.0127470041507898,0.0,-0.408,0.0271838201619802,1.0
443,5.333333333333333,2.52,15.333333333333334,0.0,0.0,-2.108,0.0,0.2333333333333485
444,6.0,2.793333333333333,32.666666666666664,0.0,1.082452038644961e-05,-1.349,0.0,0.0799999999999272
445,9.333333333333334,2.783333333333333,38.66666666666666,1.265165812443942e-05,0.0,-1.121,1.7892146506089982e-05,0.1100000000001273
446,4.666666666666667,2.7622222222222224,9.77777777777778,0.2379936194906095,0.0369588048343191,-1.852,0.3987509440636461,0.006666666666509
447,6.666666666666667,2.12,22.444444444444443,0.0040796996901248,0.0,-0.969,0.0076324192406874,0.7599999999997635
448,12.22222222222222,2.103333333333333,32.44444444444444,0.0040796996901248,0.0,-0.865,0.0076324192406874,0.8533333333333152
450,7.777777777777778,2.173333333333334,25.33333333333333,0.0024440570460117,1.8679410566721331e-06,-0.519,0.0043804441993577,0.6399999999998727
451,7.777777777777778,2.173333333333334,25.33333333333333,0.0023632128454592,0.0,-0.513,0.0044211663998659,0.7100000000000364
460,8.666666666666666,2.223333333333333,24.0,0.0,0.0,-1.096,0.0,0.1099999999998999
461,9.0,2.2533333333333334,24.33333333333333,0.0,0.0,-0.794,0.0,0.1399999999998726
462,9.0,2.2533333333333334,24.33333333333333,0.0,0.0,-0.78,0.0,0.1099999999999757
